,ID_CONCURSO,Órgão,Cargo,Banca,Local,Inscrição início,Inscrição fim,Data da prova,Status,Vagas,Salário base,Benefícios principais,Jornada,Estrutura objetiva,Discursiva,Edital oficial,Pasta Drive,Observações
0,CRBIO01-2026-ATI,CRBio-01,Analista – Analista de Tecnologia da Informação,Instituto Quadrix,São Paulo/SP,21/09/2026,21/10/2026,29/11/2026,inscrições abertas,"30 CR (18 AC, 2 PcD, 8 PN, 1 PI, 1 PQ)",7181.5,VR R$ 1.540; VA R$ 950; plano de saúde; plano de carreira; vale-transporte,40h/semana,120 itens: 40 básicos + 30 complementares + 50 específicos,20–30 linhas sobre conhecimentos específicos,https://anexos-r2.selecao.net.br/uploads/861/concursos/3071/anexos/1afe4f0b-7113-4dad-bf04-0c578b3fd24a.pdf,1GUtGFzXVMp1PK9VDS_fueuTiwPpk_1lW,Prova à tarde; banca Certo/Errado com penalização por erro.
1,SETEC-2026-ATI,SETEC – Serviços Técnicos Gerais,Analista Técnico (Informática),INDEPAC,Campinas/SP,08/09/2026,04/12/2026,17/01/2027,inscrições abertas,1 vaga + CR,8285.32,Vale-alimentação conforme edital,36h/semana ou até 180h/mês em escala,40 questões: 10 Português + 10 Matemática + 20 específicos,1 questão teórico-prática,https://anexos-r2.selecao.net.br/uploads/815/concursos/109/anexos/52b446b1-6df2-4a0c-a457-2215b9f5b58f.pdf,14XvemdkwUmOWHQDcNtVgQglY03Nbdjab,Prova em Campinas; objetiva de múltipla escolha com 4 alternativas.
,ID_TÓPICO,Disciplina,Assunto,Subassunto / escopo,CRBio,SETEC,Cobertura,Prioridade inicial,Fase,Status editorial,Observação
1,Hierarquia,P2,Fonte institucional oficial explicativa,"Manuais, guias, FAQs, cartilhas e cursos oficiais de órgãos, fabricantes, fundações ou mantenedores",Usar para explicar e contextualizar P1; não contrariar P1.
2,Hierarquia,S1,Fonte secundária técnica confiável,"Livros reconhecidos, universidades, publicações acadêmicas, editoras técnicas e materiais de instituições consolidadas","Boa para didática e aprofundamento. Em tema atual/normativo, confirmar em P1/P2."
3,Hierarquia,C1,Fonte complementar,"Artigos técnicos, cursos, vídeos do YouTube, blogs especializados e materiais de professores","Pode enriquecer exemplos, explicações e revisão. Não deve ser a única base de uma afirmação crítica."
4,Hierarquia,D1,Fonte de descoberta,"Fóruns, comunidades, posts, resumos de IA e páginas sem autoridade clara","Usar apenas para encontrar pistas, dúvidas ou exemplos. Nunca tratar como fonte factual final."
5,Regra,R01,Toda aula deve declarar os IDs das fontes usadas,Campo source_ids nos metadados da aula,Obrigatório antes de entrar na fila do Work.
6,Regra,R02,Conteúdo normativo deve usar a fonte oficial correspondente,Leis no portal oficial; edital/retificação da banca/órgão; norma no mantenedor oficial,"Se houver divergência com material didático, prevalece a fonte oficial."
7,Regra,R03,Conteúdo técnico deve preferir especificação e documentação oficial,RFCs; documentação Linux/Microsoft/PostgreSQL; páginas oficiais ITIL/COBIT quando aplicável,"Material secundário pode simplificar, mas fatos técnicos devem ser conferidos."
8,Regra,R04,Fonte complementar não substitui a fonte-base,"YouTube, blogs, apostilas, artigos e cursos","Vídeos entram como apoio à aprendizagem, não como única sustentação da aula."
9,Regra,R05,Verificar atualização antes da publicação,Registrar versão/data e data de verificação,"Se a fonte estiver desatualizada, substituir ou sinalizar explicitamente."
10,Regra,R06,Fontes superadas não são apagadas,Mover ou registrar em 10_FONTES_SUPERADAS_E_ARQUIVO,Preservar histórico e vínculo com conteúdos antigos.
11,Regra,R07,Evitar reprodução extensa de material protegido,Parafrasear e produzir explicação original; usar trechos breves somente quando necessários,"Normas, livros, cursos e questões podem ter proteção autoral."
12,Regra,R08,Questões de prova são fonte de estilo e incidência,Provas/gabaritos oficiais em 04_BANCAS_PROVAS_E_GABARITOS,Não copiar bancos proprietários; produzir questões próprias ou usar itens oficiais conforme permitido.
13,Regra,R09,"Imagens externas são referência, não padrão de cópia",08_IMAGENS_E_DIAGRAMAS_REFERENCIA,Preferir gerar diagramas originais para as aulas.
14,Regra,R10,Toda afirmação temporalmente sensível deve ser revalidada,"Leis alteradas, versões de software, frameworks, editais e retificações",Não confiar apenas em uma fonte antiga porque já está no Drive.
15,Fluxo,F01,Novo conteúdo,Edital → tópicos → busca em FONTES → selecionar P1/P2 → complementar com S1/C1 → produzir aula → revisão → mídia → fila Work,Registrar source_ids e data de verificação.
16,Fluxo,F02,Nova fonte,Cadastrar ID permanente → classificar nível → salvar/linkar na pasta correta → relacionar aos IDs de conteúdo,Uma fonte pode atender vários conteúdos e concursos.
17,Fluxo,F03,Fonte alterada,Registrar nova versão; marcar a anterior como superada; identificar aulas impactadas,"Disparar revisão incremental, nunca reescrever toda a biblioteca sem necessidade."

